report_date,Name,FIPS,StateName,TotalPop,Health Service Area Number,Health Service Area Name,COVID-19 Community Level - COVID Inpatient Bed Utilization,COVID-19 Community Level - COVID Hospital Admissions per 100k,COVID-19 Community Level - Cases per 100k,COVID-19 Community Level
2022-03-10,Alamance,37001,North Carolina,169509 ,267,"Alamance, NC",14.3,17.1,155.15,Medium
2022-03-10,Alexander,37003,North Carolina,37497 ,192,"Iredell (Statesville), NC - Alexander, NC",4.9,5.9,48,Low
2022-03-10,Alleghany,37005,North Carolina,11137 ,73,"Carroll, VA - Grayson, VA",5.8,23.9,341.2,High
2022-03-10,Anson,37007,North Carolina,24446 ,167,"Mecklenburg (Charlotte), NC - Union, NC",5.9,5.7,98.18,Low
2022-03-10,Ashe,37009,North Carolina,27203 ,194,"Watauga, NC - Ashe, NC",14,10.9,551.41,High
2022-03-10,Avery,37011,North Carolina,17557 ,240,"Yancey, NC - Avery, NC",6.2,0,324.66,Medium
2022-03-10,Beaufort,37013,North Carolina,46994 ,195,"Pitt, NC - Beaufort, NC",9.3,11.5,255.35,High
2022-03-10,Bertie,37015,North Carolina,18947 ,243,"Hertford, NC - Bertie, NC",5.7,5.9,105.56,Low
2022-03-10,Bladen,37017,North Carolina,32722 ,207,"Robeson, NC - Columbus, NC",5.3,18.1,195.59,Medium
2022-03-10,Brunswick,37019,North Carolina,142820 ,168,"New Hanover (Wilmington), NC - Brunswick, NC",9.2,15.4,470.52,High
2022-03-10,Buncombe,37021,North Carolina,261191 ,225,"Buncombe (Asheville), NC - Henderson, NC",6.5,3.6,292.89,Medium
2022-03-10,Burke,37023,North Carolina,90485 ,229,"Catawba (Hickory), NC - Burke, NC",13,15.7,270.76,High
2022-03-10,Cabarrus,37025,North Carolina,216453 ,235,"Cabarrus (Concord), NC - Rowan, NC",8.4,7.4,95.63,Low
2022-03-10,Caldwell,37027,North Carolina,82178 ,229,"Catawba (Hickory), NC - Burke, NC",13,15.7,288.4,High
2022-03-10,Camden,37029,North Carolina,10867 ,264,"Pasquotank, NC - Dare, NC",3.4,7.9,276.07,Medium
2022-03-10,Carteret,37031,North Carolina,69473 ,242,"Onslow, NC - Craven, NC",7.6,9.7,685.16,Medium
2022-03-10,Caswell,37033,North Carolina,22604 ,132,"Pittsylvania (Danville), VA - Danville City, VA",4.5,0.5,141.57,Low
2022-03-10,Catawba,37035,North Carolina,159551 ,229,"Catawba (Hickory), NC - Burke, NC",13,15.7,140.39,Medium
2022-03-10,Chatham,37037,North Carolina,74470 ,203,"Orange (Chapel Hill), NC - Harnett, NC",11.4,13.1,116.83,Medium
2022-03-10,Cherokee,37039,North Carolina,28612 ,258,"Cherokee, NC - Clay, NC",13.7,5,209.7,High
2022-03-10,Chowan,37041,North Carolina,13943 ,243,"Hertford, NC - Bertie, NC",5.7,5.9,28.69,Low
2022-03-10,Clay,37043,North Carolina,11231 ,258,"Cherokee, NC - Clay, NC",13.7,5,44.52,Medium
2022-03-10,Cleveland,37045,North Carolina,97947 ,218,"Gaston (Gastonia), NC - Cleveland, NC",11.2,6.9,132.72,Medium
2022-03-10,Columbus,37047,North Carolina,55508 ,207,"Robeson, NC - Columbus, NC",5.3,18.1,172.95,Medium
2022-03-10,Craven,37049,North Carolina,102139 ,242,"Onslow, NC - Craven, NC",7.6,9.7,276.09,Medium
2022-03-10,Cumberland,37051,North Carolina,335509 ,262,"Cumberland (Fayetteville), NC - Sampson, NC",8.3,11,145.75,Medium
2022-03-10,Currituck,37053,North Carolina,27763 ,6,"Virginia Beach City, VA - Norfolk City, VA",3.1,4.7,324.17,Medium
2022-03-10,Dare,37055,North Carolina,37009 ,264,"Pasquotank, NC - Dare, NC",3.4,7.9,86.47,Low
2022-03-10,Davidson,37057,North Carolina,167609 ,186,"Guilford (Greensboro), NC - Davidson, NC",8.1,11.6,111.57,Medium
2022-03-10,Davie,37059,North Carolina,42846 ,149,"Forsyth (Winston-Salem), NC - Surry, NC",5,14.5,182.05,Medium
2022-03-10,Duplin,37061,North Carolina,58741 ,238,"Wayne, NC - Lenoir, NC",14.1,8.5,217.91,High
2022-03-10,Durham,37063,North Carolina,321488 ,170,"Durham (Durham), NC - Granville, NC",8.9,18.7,138.73,Medium
2022-03-10,Edgecombe,37065,North Carolina,51472 ,214,"Nash, NC - Halifax, NC",5.3,11.1,132.11,Medium
2022-03-10,Forsyth,37067,North Carolina,382295 ,149,"Forsyth (Winston-Salem), NC - Surry, NC",5,14.5,113.26,Medium
2022-03-10,Franklin,37069,North Carolina,69685 ,198,"Wake (Raleigh), NC - Johnston, NC",9.7,6.7,198.03,Low
2022-03-10,Gaston,37071,North Carolina,224529 ,218,"Gaston (Gastonia), NC - Cleveland, NC",11.2,6.9,98.87,Medium
2022-03-10,Gates,37073,North Carolina,11562 ,243,"Hertford, NC - Bertie, NC",5.7,5.9,320.01,Medium
2022-03-10,Graham,37075,North Carolina,8441 ,209,"Jackson, NC - Macon, NC",5.7,2.9,154.01,Low
2022-03-10,Granville,37077,North Carolina,60443 ,170,"Durham (Durham), NC - Granville, NC",8.9,18.7,152.21,Medium
2022-03-10,Greene,37079,North Carolina,21069 ,238,"Wayne, NC - Lenoir, NC",14.1,8.5,151.88,Medium
2022-03-10,Guilford,37081,North Carolina,537174 ,186,"Guilford (Greensboro), NC - Davidson, NC",8.1,11.6,183.37,Medium
2022-03-10,Halifax,37083,North Carolina,50010 ,214,"Nash, NC - Halifax, NC",5.3,11.1,113.98,Medium
2022-03-10,Harnett,37085,North Carolina,135976 ,203,"Orange (Chapel Hill), NC - Harnett, NC",11.4,13.1,184.59,Medium
2022-03-10,Haywood,37087,North Carolina,62317 ,225,"Buncombe (Asheville), NC - Henderson, NC",6.5,3.6,215.03,Medium
2022-03-10,Henderson,37089,North Carolina,117417 ,225,"Buncombe (Asheville), NC - Henderson, NC",6.5,3.6,113.27,Low
2022-03-10,Hertford,37091,North Carolina,23677 ,243,"Hertford, NC - Bertie, NC",5.7,5.9,63.35,Low
2022-03-10,Hoke,37093,North Carolina,55234 ,205,"Moore, NC - Richmond, NC",9.3,5.3,166.56,Low
2022-03-10,Hyde,37095,North Carolina,4937 ,195,"Pitt, NC - Beaufort, NC",9.3,11.5,222.81,High
2022-03-10,Iredell,37097,North Carolina,181806 ,192,"Iredell (Statesville), NC - Alexander, NC",4.9,5.9,183.16,Low
2022-03-10,Jackson,37099,North Carolina,43938 ,209,"Jackson, NC - Macon, NC",5.7,2.9,161.59,Low
2022-03-10,Johnston,37101,North Carolina,209339 ,198,"Wake (Raleigh), NC - Johnston, NC",9.7,6.7,213.53,Medium
2022-03-10,Jones,37103,North Carolina,9419 ,242,"Onslow, NC - Craven, NC",7.6,9.7,169.87,Low
2022-03-10,Lee,37105,North Carolina,61779 ,203,"Orange (Chapel Hill), NC - Harnett, NC",11.4,13.1,66.37,Medium
2022-03-10,Lenoir,37107,North Carolina,55949 ,238,"Wayne, NC - Lenoir, NC",14.1,8.5,191.25,Medium
2022-03-10,Lincoln,37109,North Carolina,86111 ,218,"Gaston (Gastonia), NC - Cleveland, NC",11.2,6.9,113.81,Medium
2022-03-10,McDowell,37111,North Carolina,45756 ,261,"McDowell, NC",7.6,0,225.11,Medium
2022-03-10,Macon,37113,North Carolina,35858 ,209,"Jackson, NC - Macon, NC",5.7,2.9,320.71,Medium
2022-03-10,Madison,37115,North Carolina,21755 ,225,"Buncombe (Asheville), NC - Henderson, NC",6.5,3.6,243.62,Medium
2022-03-10,Martin,37117,North Carolina,22440 ,195,"Pitt, NC - Beaufort, NC",9.3,11.5,151.52,Medium
2022-03-10,Mecklenburg,37119,North Carolina,1110356 ,167,"Mecklenburg (Charlotte), NC - Union, NC",5.9,5.7,98.71,Low
2022-03-10,Mitchell,37121,North Carolina,14964 ,240,"Yancey, NC - Avery, NC",6.2,0,173.75,Low
2022-03-10,Montgomery,37123,North Carolina,27173 ,205,"Moore, NC - Richmond, NC",9.3,5.3,103.04,Low
2022-03-10,Moore,37125,North Carolina,100880 ,205,"Moore, NC - Richmond, NC",9.3,5.3,133.82,Low
2022-03-10,Nash,37127,North Carolina,94298 ,214,"Nash, NC - Halifax, NC",5.3,11.1,132.56,Medium
2022-03-10,New Hanover,37129,North Carolina,234473 ,168,"New Hanover (Wilmington), NC - Brunswick, NC",9.2,15.4,465.73,High
2022-03-10,Northampton,37131,North Carolina,19483 ,214,"Nash, NC - Halifax, NC",5.3,11.1,123.18,Medium
2022-03-10,Onslow,37133,North Carolina,197938 ,242,"Onslow, NC - Craven, NC",7.6,9.7,223.81,Medium
2022-03-10,Orange,37135,North Carolina,148476 ,203,"Orange (Chapel Hill), NC - Harnett, NC",11.4,13.1,127.29,Medium
2022-03-10,Pamlico,37137,North Carolina,12726 ,242,"Onslow, NC - Craven, NC",7.6,9.7,70.72,Low
2022-03-10,Pasquotank,37139,North Carolina,39824 ,264,"Pasquotank, NC - Dare, NC",3.4,7.9,288.77,Medium
2022-03-10,Pender,37141,North Carolina,63060 ,168,"New Hanover (Wilmington), NC - Brunswick, NC",9.2,15.4,558.2,High
2022-03-10,Perquimans,37143,North Carolina,13463 ,264,"Pasquotank, NC - Dare, NC",3.4,7.9,393.67,Medium
2022-03-10,Person,37145,North Carolina,39490 ,170,"Durham (Durham), NC - Granville, NC",8.9,18.7,149.4,Medium
2022-03-10,Pitt,37147,North Carolina,180742 ,195,"Pitt, NC - Beaufort, NC",9.3,11.5,118.4,Medium
2022-03-10,Polk,37149,North Carolina,20724 ,191,"Spartanburg (Spartanburg), SC - Cherokee, SC",6.8,10.3,164.06,Medium
2022-03-10,Randolph,37151,North Carolina,143667 ,186,"Guilford (Greensboro), NC - Davidson, NC",8.1,11.6,119.03,Medium
2022-03-10,Richmond,37153,North Carolina,44829 ,205,"Moore, NC - Richmond, NC",9.3,5.3,113.77,Low
2022-03-10,Robeson,37155,North Carolina,130625 ,207,"Robeson, NC - Columbus, NC",5.3,18.1,209.76,High
2022-03-10,Rockingham,37157,North Carolina,91010 ,186,"Guilford (Greensboro), NC - Davidson, NC",8.1,11.6,164.82,Medium
2022-03-10,Rowan,37159,North Carolina,142088 ,235,"Cabarrus (Concord), NC - Rowan, NC",8.4,7.4,123.16,Low
2022-03-10,Rutherford,37161,North Carolina,67029 ,218,"Gaston (Gastonia), NC - Cleveland, NC",11.2,6.9,101.45,Medium
